Rule,X Coordinate of Mass Center,Y Coordinate of Mass Center,Distance to Physical Center
GOLDENTRIANGLE,289,485,16.03122
GOLDENTRIANGLE,213,476,77.31753
GOLDENTRIANGLE,314,473,24.33105
GOLDENTRIANGLE,286,443,26.305893
GOLDENTRIANGLE,316,461,27.202942
GOLDENTRIANGLE,310,477,21.540659
GOLDENTRIANGLE,296,475,8.485281
GOLDENTRIANGLE,311,466,21.213203
GOLDENTRIANGLE,244,475,46.389652
GOLDENTRIANGLE,227,481,64.132675
GOLDENTRIANGLE,292,451,18.110771
GOLDENTRIANGLE,189,614,176.7088
GOLDENTRIANGLE,312,440,36.40055
GOLDENTRIANGLE,276,420,50.96077
GOLDENTRIANGLE,315,432,44.65423
GOLDENTRIANGLE,316,436,42.0119
GOLDENTRIANGLE,288,475,6.3245554
GOLDENTRIANGLE,311,433,41.677334
GOLDENTRIANGLE,181,649,210.43051
GOLDENTRIANGLE,235,539,89.02247
GOLDENTRIANGLE,276,463,15.231546
GOLDENTRIANGLE,358,469,68.0
GOLDENTRIANGLE,276,460,16.643316
GOLDENTRIANGLE,266,432,44.102154
GOLDENTRIANGLE,277,451,22.203604
GOLDENTRIANGLE,276,460,16.643316
GOLDENTRIANGLE,286,462,8.062258
GOLDENTRIANGLE,276,456,19.104973
GOLDENTRIANGLE,280,458,14.866069
GOLDENTRIANGLE,384,433,100.65784
GOLDENTRIANGLE,279,470,11.045361
GOLDENTRIANGLE,332,574,113.08846
GOLDENTRIANGLE,292,462,7.28011
GOLDENTRIANGLE,268,432,43.046486
GOLDENTRIANGLE,289,456,13.038404
GOLDENTRIANGLE,291,461,8.062258
GOLDENTRIANGLE,292,471,2.828427
GOLDENTRIANGLE,289,458,11.045361
GOLDENTRIANGLE,295,479,11.18034
GOLDENTRIANGLE,296,480,12.529964
GOLDENTRIANGLE,279,467,11.18034
GOLDENTRIANGLE,278,519,51.41984
GOLDENTRIANGLE,294,445,24.33105
GOLDENTRIANGLE,274,427,44.94441
GOLDENTRIANGLE,294,437,32.24903
GOLDENTRIANGLE,295,446,23.537205
GOLDENTRIANGLE,292,458,11.18034
GOLDENTRIANGLE,294,443,26.305893
GOLDENTRIANGLE,285,484,15.811388
GOLDENTRIANGLE,288,478,9.219544
GOLDENTRIANGLE,271,463,19.924858
GOLDENTRIANGLE,315,525,61.326992
GOLDENTRIANGLE,278,450,22.472204
GOLDENTRIANGLE,259,434,46.75468
GOLDENTRIANGLE,276,437,34.928497
GOLDENTRIANGLE,278,446,25.942244
GOLDENTRIANGLE,279,460,14.21267
GOLDENTRIANGLE,277,442,29.966648
GOLDENTRIANGLE,322,555,91.76056
GOLDENTRIANGLE,280,457,15.6205
GOLDENTRIANGLE,265,470,25.019993
GOLDENTRIANGLE,314,528,63.694584
GOLDENTRIANGLE,273,447,27.802877
GOLDENTRIANGLE,254,431,52.34501
GOLDENTRIANGLE,277,460,15.811388
GOLDENTRIANGLE,276,450,23.600847
GOLDENTRIANGLE,278,465,12.649111
GOLDENTRIANGLE,273,457,20.808653
GOLDENTRIANGLE,286,482,13.601471
GOLDENTRIANGLE,272,462,19.313208
GOLDENTRIANGLE,274,466,16.27882
GOLDENTRIANGLE,302,556,87.823685
GOLDENTRIANGLE,289,459,10.049875
GOLDENTRIANGLE,264,424,51.971146
GOLDENTRIANGLE,287,447,22.203604
GOLDENTRIANGLE,292,451,18.110771
GOLDENTRIANGLE,289,463,6.0827627
GOLDENTRIANGLE,282,445,25.298222
GOLDENTRIANGLE,281,461,12.0415945
GOLDENTRIANGLE,293,481,12.369317
GOLDENTRIANGLE,284,479,11.661903
GOLDENTRIANGLE,253,365,110.38569
GOLDENTRIANGLE,296,486,18.027756
GOLDENTRIANGLE,270,445,31.241
GOLDENTRIANGLE,300,483,17.20465
GOLDENTRIANGLE,295,489,20.615528
GOLDENTRIANGLE,291,474,5.0990195
GOLDENTRIANGLE,296,480,12.529964
GOLDENTRIANGLE,273,415,56.61272
GOLDENTRIANGLE,290,472,3.0
GOLDENTRIANGLE,280,447,24.166092
GOLDENTRIANGLE,304,594,125.781555
GOLDENTRIANGLE,286,425,44.181442
GOLDENTRIANGLE,269,422,51.47815
GOLDENTRIANGLE,288,409,60.033325
GOLDENTRIANGLE,286,419,50.159744
GOLDENTRIANGLE,292,463,6.3245554
GOLDENTRIANGLE,286,415,54.147945
GOLDENTRIANGLE,303,581,112.75194
GOLDENTRIANGLE,305,610,141.79562
GOLDENTRIANGLE,278,478,15.0
GOLDENTRIANGLE,315,390,82.86133
GOLDENTRIANGLE,288,480,11.18034
GOLDENTRIANGLE,258,440,43.185646
GOLDENTRIANGLE,283,474,8.602325
GOLDENTRIANGLE,289,475,6.0827627
GOLDENTRIANGLE,287,473,5.0
GOLDENTRIANGLE,284,470,6.0827627
GOLDENTRIANGLE,295,463,7.81025
GOLDENTRIANGLE,288,454,15.132746
GOLDENTRIANGLE,274,474,16.763054
GOLDENTRIANGLE,322,468,32.01562
GOLDENTRIANGLE,275,468,15.033297
GOLDENTRIANGLE,258,434,47.423622
