Rule,X Coordinate of Mass Center,Y Coordinate of Mass Center,Distance to Physical Center
RULEOFTHIRDS,299,492,24.698177
RULEOFTHIRDS,298,478,12.0415945
RULEOFTHIRDS,285,450,19.646883
RULEOFTHIRDS,287,459,10.440307
RULEOFTHIRDS,281,443,27.513634
RULEOFTHIRDS,290,471,2.0
RULEOFTHIRDS,241,554,98.11218
RULEOFTHIRDS,286,474,6.4031243
RULEOFTHIRDS,336,321,154.98387
RULEOFTHIRDS,293,482,13.341664
RULEOFTHIRDS,286,460,9.848858
RULEOFTHIRDS,338,337,140.4564
RULEOFTHIRDS,226,343,141.32233
RULEOFTHIRDS,290,466,3.0
RULEOFTHIRDS,165,562,155.80116
RULEOFTHIRDS,294,477,8.944272
RULEOFTHIRDS,289,411,58.00862
RULEOFTHIRDS,286,358,111.07205
RULEOFTHIRDS,292,497,28.071337
RULEOFTHIRDS,290,499,30.0
RULEOFTHIRDS,265,415,59.5063
RULEOFTHIRDS,226,381,108.81177
RULEOFTHIRDS,283,467,7.28011
RULEOFTHIRDS,285,464,7.071068
RULEOFTHIRDS,285,456,13.928389
RULEOFTHIRDS,267,382,89.98889
RULEOFTHIRDS,304,450,23.600847
RULEOFTHIRDS,296,466,6.708204
RULEOFTHIRDS,287,471,3.6055512
RULEOFTHIRDS,286,479,10.770329
RULEOFTHIRDS,250,514,60.207973
RULEOFTHIRDS,272,492,29.206163
RULEOFTHIRDS,308,431,42.047592
RULEOFTHIRDS,301,440,31.016125
RULEOFTHIRDS,293,563,94.04786
RULEOFTHIRDS,292,541,72.02777
RULEOFTHIRDS,288,606,137.0146
RULEOFTHIRDS,304,521,53.851646
RULEOFTHIRDS,200,285,204.83163
RULEOFTHIRDS,288,466,3.6055512
RULEOFTHIRDS,270,460,21.931713
RULEOFTHIRDS,282,463,10.0
RULEOFTHIRDS,286,470,4.1231055
RULEOFTHIRDS,287,468,3.1622777
RULEOFTHIRDS,288,471,2.828427
RULEOFTHIRDS,292,480,11.18034
RULEOFTHIRDS,353,352,132.8834
RULEOFTHIRDS,295,469,5.0
RULEOFTHIRDS,286,459,10.770329
RULEOFTHIRDS,253,398,80.06248
RULEOFTHIRDS,268,492,31.827662
RULEOFTHIRDS,285,465,6.4031243
RULEOFTHIRDS,269,391,80.77747
RULEOFTHIRDS,280,431,39.293766
RULEOFTHIRDS,292,467,2.828427
RULEOFTHIRDS,302,459,15.6205
RULEOFTHIRDS,216,397,103.24728
RULEOFTHIRDS,289,468,1.4142135
RULEOFTHIRDS,243,565,106.887794
RULEOFTHIRDS,249,554,94.371605
RULEOFTHIRDS,292,446,23.086792
RULEOFTHIRDS,292,459,10.198039
RULEOFTHIRDS,297,477,10.630146
RULEOFTHIRDS,325,518,60.216278
RULEOFTHIRDS,289,503,34.0147
RULEOFTHIRDS,293,459,10.440307
RULEOFTHIRDS,187,384,133.544
RULEOFTHIRDS,284,462,9.219544
RULEOFTHIRDS,288,457,12.165525
RULEOFTHIRDS,270,425,48.332184
RULEOFTHIRDS,275,488,24.207438
RULEOFTHIRDS,250,541,82.36504
RULEOFTHIRDS,296,463,8.485281
RULEOFTHIRDS,297,484,16.552946
RULEOFTHIRDS,291,470,1.4142135
RULEOFTHIRDS,300,461,12.806249
RULEOFTHIRDS,303,545,77.10383
RULEOFTHIRDS,279,650,181.33394
RULEOFTHIRDS,267,434,41.880783
RULEOFTHIRDS,235,381,103.773796
RULEOFTHIRDS,280,449,22.36068
RULEOFTHIRDS,256,401,76.02631
RULEOFTHIRDS,288,492,23.086792
RULEOFTHIRDS,295,456,13.928389
RULEOFTHIRDS,297,471,7.28011
RULEOFTHIRDS,293,469,3.0
RULEOFTHIRDS,352,618,161.38463
RULEOFTHIRDS,338,574,115.45129
RULEOFTHIRDS,294,460,9.848858
RULEOFTHIRDS,219,359,130.92365
RULEOFTHIRDS,270,469,20.0
RULEOFTHIRDS,256,461,34.928497
RULEOFTHIRDS,292,490,21.095022
RULEOFTHIRDS,289,407,62.008064
RULEOFTHIRDS,302,480,16.27882
RULEOFTHIRDS,295,482,13.928389
RULEOFTHIRDS,295,477,9.433981
RULEOFTHIRDS,261,471,29.068884
RULEOFTHIRDS,297,476,9.899495
RULEOFTHIRDS,262,419,57.306194
RULEOFTHIRDS,269,513,48.754486
RULEOFTHIRDS,285,477,9.433981
RULEOFTHIRDS,262,485,32.24903
RULEOFTHIRDS,277,515,47.801674
RULEOFTHIRDS,294,561,92.086914
RULEOFTHIRDS,297,544,75.32596
RULEOFTHIRDS,289,468,1.4142135
RULEOFTHIRDS,253,418,63.007935
RULEOFTHIRDS,283,444,25.96151
RULEOFTHIRDS,218,379,115.25623
RULEOFTHIRDS,229,517,77.62087
RULEOFTHIRDS,301,440,31.016125
RULEOFTHIRDS,291,459,10.049875
RULEOFTHIRDS,328,342,132.56319
RULEOFTHIRDS,344,561,106.677086
RULEOFTHIRDS,320,555,91.08238
RULEOFTHIRDS,238,323,154.98387
RULEOFTHIRDS,290,470,1.0
RULEOFTHIRDS,268,565,98.48858
RULEOFTHIRDS,274,554,86.492775
RULEOFTHIRDS,297,491,23.086792
RULEOFTHIRDS,313,382,89.98889
RULEOFTHIRDS,288,460,9.219544
RULEOFTHIRDS,291,454,15.033297
RULEOFTHIRDS,271,420,52.554733
RULEOFTHIRDS,262,406,68.942
RULEOFTHIRDS,286,467,4.472136
RULEOFTHIRDS,278,486,20.808653
RULEOFTHIRDS,303,427,43.965897
RULEOFTHIRDS,298,434,35.902645
RULEOFTHIRDS,299,473,9.848858
RULEOFTHIRDS,303,476,14.764823
RULEOFTHIRDS,243,397,85.98256
RULEOFTHIRDS,255,400,77.36925
RULEOFTHIRDS,212,578,134.03358
RULEOFTHIRDS,211,590,144.50606
RULEOFTHIRDS,298,474,9.433981
RULEOFTHIRDS,291,478,9.055386
RULEOFTHIRDS,334,386,93.941475
RULEOFTHIRDS,348,369,115.60277
RULEOFTHIRDS,292,405,64.03124
RULEOFTHIRDS,289,462,7.071068
RULEOFTHIRDS,284,469,6.0
RULEOFTHIRDS,284,476,9.219544
RULEOFTHIRDS,286,475,7.2111025
RULEOFTHIRDS,270,395,76.655075
RULEOFTHIRDS,338,490,52.392746
RULEOFTHIRDS,285,450,19.646883
RULEOFTHIRDS,284,449,20.880613
RULEOFTHIRDS,296,485,17.088007
RULEOFTHIRDS,298,447,23.409399
RULEOFTHIRDS,287,476,7.615773
RULEOFTHIRDS,269,446,31.144823
RULEOFTHIRDS,281,435,35.17101
RULEOFTHIRDS,316,514,51.971146
RULEOFTHIRDS,332,551,92.13034
RULEOFTHIRDS,265,455,28.653097
RULEOFTHIRDS,289,468,1.4142135
RULEOFTHIRDS,279,470,11.045361
RULEOFTHIRDS,246,505,56.85068
RULEOFTHIRDS,315,407,66.85058
RULEOFTHIRDS,295,462,8.602325
RULEOFTHIRDS,335,616,153.73354
RULEOFTHIRDS,320,572,107.28001
RULEOFTHIRDS,280,445,26.0
RULEOFTHIRDS,197,379,129.41792
RULEOFTHIRDS,292,469,2.0
RULEOFTHIRDS,249,564,103.4698
RULEOFTHIRDS,282,454,17.0
RULEOFTHIRDS,276,445,27.784887
RULEOFTHIRDS,286,460,9.848858
RULEOFTHIRDS,303,487,22.203604
RULEOFTHIRDS,290,479,10.0
RULEOFTHIRDS,284,438,31.575306
RULEOFTHIRDS,233,540,91.04944
RULEOFTHIRDS,238,526,77.155685
RULEOFTHIRDS,334,379,100.17984
RULEOFTHIRDS,279,479,14.866069
RULEOFTHIRDS,275,515,48.38388
RULEOFTHIRDS,290,481,12.0
RULEOFTHIRDS,248,329,146.16429
RULEOFTHIRDS,287,457,12.369317
RULEOFTHIRDS,290,456,13.0
RULEOFTHIRDS,279,515,47.296936
RULEOFTHIRDS,313,386,86.127815
RULEOFTHIRDS,301,448,23.70654
RULEOFTHIRDS,288,452,17.117243
RULEOFTHIRDS,288,461,8.246211
RULEOFTHIRDS,270,448,29.0
RULEOFTHIRDS,290,478,9.0
RULEOFTHIRDS,248,512,60.108234
RULEOFTHIRDS,239,519,71.42129
RULEOFTHIRDS,299,353,116.34862
RULEOFTHIRDS,300,408,61.81424
RULEOFTHIRDS,294,477,8.944272
RULEOFTHIRDS,294,471,4.472136
RULEOFTHIRDS,276,446,26.925823
RULEOFTHIRDS,221,362,127.3185
RULEOFTHIRDS,289,469,1.0
RULEOFTHIRDS,228,467,62.03225
RULEOFTHIRDS,308,356,114.424644
RULEOFTHIRDS,295,463,7.81025
RULEOFTHIRDS,321,495,40.459858
RULEOFTHIRDS,284,451,18.973665
RULEOFTHIRDS,254,420,60.80296
RULEOFTHIRDS,268,389,82.96987
RULEOFTHIRDS,271,505,40.706264
RULEOFTHIRDS,280,474,11.18034
RULEOFTHIRDS,333,396,84.723076
RULEOFTHIRDS,290,466,3.0
RULEOFTHIRDS,287,480,11.401754
RULEOFTHIRDS,291,478,9.055386
